Area,Age,Gender,Population,
Kerrisdale,16 years,Male,125,
Kerrisdale,17 years,Male,130,
Kerrisdale,18 years,Male,120,
Kerrisdale,19 years,Male,125,
Kerrisdale,20-24 years,Male,605,
Kerrisdale,25-29 years,Male,380,
Kerrisdale,30-34 years,Male,290,
Kerrisdale,35-39 years,Male,275,
Kerrisdale,40-44 years,Male,495,
Kerrisdale,45-49 years,Male,590,
Kerrisdale,50-54 years,Male,545,
Kerrisdale,55-59 years,Male,505,
Kerrisdale,60-64 years,Male,500,
Kerrisdale,65-69 years,Male,365,
Kerrisdale,70-74 years,Male,255,
Kerrisdale,75-79 years,Male,195,
Kerrisdale,80-84 years,Male,125,
Kerrisdale,85+,Male,115,
Kerrisdale,0-4 years,Female,255,
Kerrisdale,5-9 years,Female,345,
Kerrisdale,10-14 years,Female,410,
Kerrisdale,15-19 years,Female,595,
Kerrisdale,15 years,Female,125,
Kerrisdale,16 years,Female,95,
Kerrisdale,17 years,Female,125,
Kerrisdale,18 years,Female,125,
Kerrisdale,19 years,Female,120,
Kerrisdale,20-24 years,Female,565,
Kerrisdale,25-29 years,Female,380,
Kerrisdale,30-34 years,Female,325,
Kerrisdale,35-39 years,Female,445,
Kerrisdale,40-44 years,Female,690,
Kerrisdale,45-49 years,Female,710,
Kerrisdale,50-54 years,Female,675,
Kerrisdale,55-59 years,Female,550,
Kerrisdale,60-64 years,Female,550,
Kerrisdale,65-69 years,Female,405,
Kerrisdale,70-74 years,Female,300,
Kerrisdale,75-79 years,Female,240,
Kerrisdale,80-84 years,Female,185,
Kerrisdale,85+,Female,220,
Killarney,0-4 years,Male,685,
Killarney,5-9 years,Male,705,
Killarney,10-14 years,Male,755,
Killarney,15-19 years,Male,985,
Killarney,15 years,Male,195,
Killarney,16 years,Male,195,
Killarney,17 years,Male,185,
Killarney,18 years,Male,200,
Killarney,19 years,Male,210,
Killarney,20-24 years,Male,975,
Killarney,25-29 years,Male,905,
Killarney,30-34 years,Male,785,
Killarney,35-39 years,Male,855,
Killarney,40-44 years,Male,975,
Killarney,45-49 years,Male,"1,135",
Killarney,50-54 years,Male,"1,030",
Killarney,55-59 years,Male,900,
Killarney,60-64 years,Male,835,
Killarney,65-69 years,Male,500,
Killarney,70-74 years,Male,460,
Killarney,75-79 years,Male,410,
Killarney,80-84 years,Male,270,
Killarney,85+,Male,195,
Killarney,0-4 years,Female,635,
Killarney,5-9 years,Female,665,
Killarney,10-14 years,Female,785,
Killarney,15-19 years,Female,890,
Killarney,15 years,Female,210,
Killarney,16 years,Female,185,
Killarney,17 years,Female,180,
Killarney,18 years,Female,180,
Killarney,19 years,Female,135,
Killarney,20-24 years,Female,910,
Killarney,25-29 years,Female,875,
Killarney,30-34 years,Female,905,
Killarney,35-39 years,Female,"1,055",
Killarney,40-44 years,Female,"1,160",
Killarney,45-49 years,Female,"1,355",
Killarney,50-54 years,Female,"1,255",
Killarney,55-59 years,Female,"1,165",
Killarney,60-64 years,Female,995,
Killarney,65-69 years,Female,610,
Killarney,70-74 years,Female,550,
Killarney,75-79 years,Female,490,
Killarney,80-84 years,Female,370,
Killarney,85+,Female,415,
Kitsilano,0-4 years,Male,870,
Kitsilano,5-9 years,Male,570,
Kitsilano,10-14 years,Male,545,
Kitsilano,15-19 years,Male,640,
Kitsilano,15 years,Male,105,
Kitsilano,16 years,Male,125,
Kitsilano,17 years,Male,130,
Kitsilano,18 years,Male,130,
Kitsilano,19 years,Male,145,
Kitsilano,20-24 years,Male,"1,350",
Kitsilano,25-29 years,Male,"2,575",
Kitsilano,30-34 years,Male,"2,315",
Kitsilano,35-39 years,Male,"1,805",
Kitsilano,40-44 years,Male,"1,755",
Kitsilano,45-49 years,Male,"1,505",
Kitsilano,50-54 years,Male,"1,190",
Kitsilano,55-59 years,Male,"1,115",
Kitsilano,60-64 years,Male,"1,145",
Kitsilano,65-69 years,Male,715,
Kitsilano,70-74 years,Male,445,
Kitsilano,75-79 years,Male,310,
Kitsilano,80-84 years,Male,260,
Kitsilano,85+,Male,190,
Kitsilano,0-4 years,Female,850,
Kitsilano,5-9 years,Female,585,
Kitsilano,10-14 years,Female,515,
Kitsilano,15-19 years,Female,655,
Kitsilano,15 years,Female,105,
Kitsilano,16 years,Female,115,
Kitsilano,17 years,Female,105,
Kitsilano,18 years,Female,165,
Kitsilano,19 years,Female,160,
Kitsilano,20-24 years,Female,"1,850",
Kitsilano,25-29 years,Female,"3,070",
Kitsilano,30-34 years,Female,"2,480",
Kitsilano,35-39 years,Female,"1,955",
Kitsilano,40-44 years,Female,"1,830",
Kitsilano,45-49 years,Female,"1,590",
Kitsilano,50-54 years,Female,"1,445",
Kitsilano,55-59 years,Female,"1,355",
Kitsilano,60-64 years,Female,"1,335",
Kitsilano,65-69 years,Female,835,
Kitsilano,70-74 years,Female,520,
Kitsilano,75-79 years,Female,395,
Kitsilano,80-84 years,Female,360,
Kitsilano,85+,Female,445,
Marpole,0-4 years,Male,510,
Marpole,5-9 years,Male,495,
Marpole,10-14 years,Male,575,
Marpole,15-19 years,Male,765,
Marpole,15 years,Male,140,
Marpole,16 years,Male,145,
Marpole,17 years,Male,140,
Marpole,18 years,Male,180,
Marpole,19 years,Male,155,
Marpole,20-24 years,Male,930,
Marpole,25-29 years,Male,915,
Marpole,30-34 years,Male,790,
Marpole,35-39 years,Male,725,
Marpole,40-44 years,Male,935,
Marpole,45-49 years,Male,"1,130",
Marpole,50-54 years,Male,920,
Marpole,55-59 years,Male,865,
Marpole,60-64 years,Male,655,
Marpole,65-69 years,Male,395,
Marpole,70-74 years,Male,325,
Marpole,75-79 years,Male,265,
Marpole,80-84 years,Male,210,
Marpole,85+,Male,145,
Marpole,0-4 years,Female,390,
Marpole,5-9 years,Female,445,
Marpole,10-14 years,Female,535,
Marpole,15-19 years,Female,755,
Marpole,15 years,Female,150,
Marpole,16 years,Female,155,
Marpole,17 years,Female,135,
Marpole,18 years,Female,160,
Marpole,19 years,Female,165,
Marpole,20-24 years,Female,920,
Marpole,25-29 years,Female,890,
Marpole,30-34 years,Female,765,
Marpole,35-39 years,Female,850,
Marpole,40-44 years,Female,"1,095",
Marpole,45-49 years,Female,"1,155",
Marpole,50-54 years,Female,"1,110",
Marpole,55-59 years,Female,815,
Marpole,60-64 years,Female,755,
Marpole,65-69 years,Female,485,
Marpole,70-74 years,Female,390,
Marpole,75-79 years,Female,275,
Marpole,80-84 years,Female,270,
Marpole,85+,Female,380,
MountPleasant,0-4 years,Male,590,
MountPleasant,5-9 years,Male,370,
MountPleasant,10-14 years,Male,325,
MountPleasant,15-19 years,Male,305,
MountPleasant,15 years,Male,65,
MountPleasant,16 years,Male,65,
MountPleasant,17 years,Male,50,
MountPleasant,18 years,Male,65,
MountPleasant,19 years,Male,65,
MountPleasant,20-24 years,Male,785,
MountPleasant,25-29 years,Male,"1,750",
MountPleasant,30-34 years,Male,"1,880",
MountPleasant,35-39 years,Male,"1,595",
MountPleasant,40-44 years,Male,"1,235",
MountPleasant,45-49 years,Male,"1,025",
MountPleasant,50-54 years,Male,835,
MountPleasant,55-59 years,Male,740,
MountPleasant,60-64 years,Male,585,
MountPleasant,65-69 years,Male,325,
MountPleasant,70-74 years,Male,230,
MountPleasant,75-79 years,Male,165,
